"file","date","value"
"Pos 1","19-Oct",2266958.41666667
"Pos 2","15-Oct",3242526.07142857
"Pos 3","16-Oct",2265533.95833333
"Pos 4","8-Sep",3595391.25
"Pos 4","8-Sep",3595391.25
"Pos 5","16-Oct",2265533.95833333
"Pos 6","19-Oct",2266958.41666667
"Pos 7","15-Oct",3242526.07142857
"Pos 8","19-Oct",2266958.41666667
"Pos 9","15-Oct",3242526.07142857
"Pos 10","15-Oct",3242526.07142857
"Pos 11","14-Oct",681306.645714286
"Pos 12","8-Sep",3595391.25
"Pos 12","8-Sep",3595391.25
"Pos 13","8-Sep",3595391.25
"Pos 13","8-Sep",3595391.25
"Pos 14","30-Aug",4043841.45833333
"Pos 15","3-Sep",5562863.41666667
"Pos 16","27-Aug",4316888.5
"Pos 17","3-Sep",5562863.41666667
"Pos 18","8-Sep",3595391.25
"Pos 18","8-Sep",3595391.25
"Pos 19","8-Sep",3595391.25
"Pos 19","8-Sep",3595391.25
"Pos 20","15-Oct",3242526.07142857
"Pos 21","19-Oct",2266958.41666667
"Pos 22","15-Oct",3242526.07142857
"Pos 23","19-Oct",2266958.41666667
"Pos 24","16-Oct",2265533.95833333
"Pos 25","19-Oct",2266958.41666667
"Pos 26","15-Oct",3242526.07142857
"Pos 27","19-Oct",2266958.41666667
"Pos 28","19-Oct",2266958.41666667
"Pos 29","19-Oct",2266958.41666667
"Pos 30","15-Oct",3242526.07142857
"Neg 1","11-Sep",1021578.98
"Neg 2","14-Sep",724404.791666667
"Neg 3","11-Sep",1021578.98
"Neg 4","11-Sep",1021578.98
"Neg 5","10-Sep",1678416.82428571
"Neg 6","10-Sep",1678416.82428571
"Neg 7","11-Sep",1021578.98
"Neg 8","14-Sep",724404.791666667
"Neg 9","11-Sep",1021578.98
"Neg 10","9-Sep",1084728.94
"Neg 11","5-Oct",668268.18
"Neg 12","14-Oct",681306.645714286
"Neg 13","14-Sep",724404.791666667
"Neg 14","10-Sep",1678416.82428571
"Neg 15","14-Sep",724404.791666667
"Neg 16","14-Sep",724404.791666667
"Neg 17","11-Sep",1021578.98
"Neg 18","6-Sep",1870527.71166667
"Neg 19","8-Sep",3595391.25
"Neg 19","8-Sep",3595391.25
"Neg 20","14-Sep",724404.791666667
"Neg 21","8-Sep",3595391.25
"Neg 21","8-Sep",3595391.25
"Neg 22","14-Sep",724404.791666667
"Neg 23","8-Sep",3595391.25
"Neg 23","8-Sep",3595391.25
"Neg 24","22-Oct",1668411.44714286
"Neg 25","3-Sep",5562863.41666667
"Neg 26","6-Sep",1870527.71166667
"Neg 27","6-Sep",1870527.71166667
"Neg 28","9-Sep",1084728.94
"Neg 29","6-Sep",1870527.71166667
"Neg 30","10-Sep",1678416.82428571
